,Latitude,Longitude,Absolute elevation,Distance from Coast,AP1,AP2,DT1,DT2,HTM,LTM,AC1,AC2,LC1,LC2,RFL,RH1,RH2,WSD
SIRONCHA,18.85,79.97,123,316.09,1002.4,998.2,19.4,28.5,32.7,11,2,2,1.1,1.2,6.6,74,41,3.5
SOLAPUR,17.67,75.9,479,279.01,961.3,957.3,19.5,29.5,33.8,12.5,1.2,1.7,0.1,0.6,4.9,63,31,5.6
SRI NIKETAN,23.65,87.7,59,162.08,1010.9,1007.2,15.9,20.9,28.7,8,1.3,1.3,0.4,0.3,12.3,74,56,4.2
SRIGANGANAGAR (GANGANAGAR),29.92,73.88,177,854.9,997.6,995.7,7.5,18.3,25.4,2,2.2,2.4,0.7,0.7,10.3,84,48,2.4
SRINAGAR,34.08,74.83,1587,1276.47,845.2,843.4,-0.8,4.3,11,-5.8,6,5.2,3.7,3.1,49.6,93,72,1.7
SULTANPUR,26.25,82,97,736.69,1006.1,1003.3,12.8,20.1,27.2,3.6,1.9,1.4,1,0.5,17.4,78,58,
SUNDERNAGAR,31.53,76.9,870,1103.37,919.1,917.1,4.5,13.9,21.7,-0.2,3.5,3.9,1.6,2,56.3,90,53,1.3
SUPAUL,26.13,86.58,50,458.7,1012.1,1009,14.1,18.9,,6.5,1.1,0.9,0.4,0.1,7,86,73,
SURAT,21.2,72.83,12,5.13,1014,1010.8,17.4,27.4,35,10.9,0.8,0.9,0.1,0.1,1.5,67,41,7.3
SURI,23.88,87.53,77,191.27,,,19.3,,28.7,7.9,1,,0.6,,9.9,55,,3.8
TADONG,27.33,88.63,1322,548.75,876.7,874.1,9.1,12.6,20.5,3.7,3.8,5.2,2.4,3.5,22.9,80,65,0.5
TANGLA,26.65,91.92,78,434.64,1007.6,1003.4,15.6,20.8,27.1,8.1,1.2,,0.8,,11.3,86,75,
TANJAVUR,10.78,79.13,68,58.71,1007.2,1002.6,22.1,28.4,32.9,18.5,3.8,4,1.4,2,18,86,62,6.5
TEZPUR,26.62,92.78,79,449.31,1008.2,1004.2,15.4,19,26.3,9,2,1.8,0.8,0.6,12.8,83,70,2.8
THIKRI,22.07,75.4,172,257.11,,,17.5,,33.9,6.3,1.1,,0.3,,2.3,59,,
THIRUVANANTHAPURAM (TRIVANDRUM),8.48,76.95,64,3.62,1005.6,1002.5,25,28.9,34,20.1,3.4,4.1,1.1,1.7,15.9,75,63,4.9
THIRUVANANTHAPURAM (TRIVANDRUM)(A),8.47,76.95,8,2.49,1012.2,1008.9,25.5,29.1,32.5,19.2,3.2,3.5,1,1.3,22.9,74,63,3.9
TIKAMGARH,24.77,78.83,345,664.82,977.7,974.9,13.5,19,29.5,2.9,1.4,1.2,0.5,0.3,15.7,74,59,2.8
TIRMALAI,13.67,79.38,845,91.41,,,19.5,21.4,26.9,10.3,2.9,3,1.2,0.8,6.8,77,72,6
TIRUCHIRAPPALLI,10.77,78.72,88,84.52,1004.9,1000.9,23.4,28.6,32.2,17.7,3.4,3.6,1.1,1.7,13,80,53,10.3
TIRUPATI (A),13.67,79.58,105,70.3,1003.3,999.5,21.9,27.5,32.6,15.2,4.1,3.8,1.9,2.2,17.5,78,54,8.9
TIRUPPATTUR,12.48,78.57,390,150,970.8,966.3,21.6,26.8,33.2,13.4,3,3.8,1.1,1.4,3.1,83,65,3.1
TIRUTTANI,13.15,79.53,105,80.63,1005.3,1001.9,23.2,27.1,32.8,14.3,,,,,17.3,79,58,3.1
TITLAGARH,20.3,83.3,211,200.57,990.9,987.4,20.4,26.3,32.7,10.6,1.9,1.8,0.3,0.2,13.7,57,49,3.1
TONDI,9.73,79.03,5,0,1014,1010.6,23.9,27,30.8,19.3,3.8,4,1.4,1.3,32.7,82,74,9.5
TONK,26.17,75.75,272,520.67,985,982.9,11.4,20.7,27.6,3.7,1.5,1.3,0.5,0.3,3,76,59,
TUMKUR,13.33,77.08,822,244.67,923.9,920.3,19.8,26.8,30.8,13.1,,,,,4.9,66,35,6.8
TUTICORIN,8.8,78.15,4,1.05,1014.1,1010.1,24.5,27.4,30.5,18.6,3.5,3.1,0.3,0.3,3.3,81,74,16.7
TUTICORIN (H.P.),8.75,78.18,3,0.14,1014.4,1010.1,24.1,27.2,30.1,19,2.8,2.6,0.4,0.4,25.9,83,72,18.3
UDAIPUR,24.58,73.7,582,269.39,951.1,,11.9,21.8,28.1,3.5,0.8,,0.2,,3.5,70,47,
UDAIPUR (DABOK) (A),24.62,73.88,514,279.27,958.2,955.3,10.6,22.7,29.1,2.2,1.3,1.5,0.3,0.5,3.5,69,34,4.2
UJJAIN,23.18,75.78,489,311.75,960.4,957.5,11.3,24.1,30.7,3.7,1.9,1.9,0.5,0.7,6.8,74,37,4.6
ULBERIA,22.5,87.95,5,31.64,1017.1,1013.9,15.9,22.1,29.4,9,2.8,2.7,1.4,1.4,11.3,85,63,2.7
UMARIA,23.53,80.88,459,630.56,964.5,961.7,12.2,21.7,29.7,3.4,1.8,2.2,0.9,1.2,19.8,79,54,2.2
UNA,31.47,76.27,369,1075.27,,,7.2,16.7,23.8,0.7,,,,,38.9,84,,
UTHAGAMANDALAM  (OOTACAMUND),11.4,76.73,2249,99.09,781.3,779.9,10.9,16.3,25.1,1.4,1.2,2.1,0.6,1.4,7.6,60,60,2.6
VALLABH VIDYANAGAR,22.57,72.93,44,32.06,1011.1,1008.2,13.9,26.9,31.8,7.7,0.4,0.3,0.1,0,2.1,74,42,3.8
VARANASI,25.3,83.02,76,590.02,1008.5,1005.3,13.1,20.1,27.4,4.9,2.4,2.3,1,0.6,19,80,56,2.8
VARANASI (BABATPUR),25.45,82.87,85,612.47,1007.9,1004.9,12.6,19.6,27.3,4.6,1.9,1.7,0.9,0.5,16.2,82,58,5.7
